algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.218,9662,8
MergeSort,sorted,1000,0.029,999,8
MergeSort,duplicates,1000,0.179,9257,8
MergeSort,random,10000,7.083,128138,11
MergeSort,sorted,10000,0.312,9999,11
MergeSort,duplicates,10000,1.052,122281,11
MergeSort,random,100000,12.361,1647411,14
MergeSort,sorted,100000,0.365,99999,14
MergeSort,duplicates,100000,6.276,1569315,14
MergeSort,random,1000000,142.446,19971903,18
MergeSort,sorted,1000000,3.397,999999,18
MergeSort,duplicates,1000000,70.449,19005474,18
QuickSort,random,1000,0.224,16440,6
QuickSort,sorted,1000,0.180,15986,6
QuickSort,duplicates,1000,0.052,5111,2
QuickSort,random,10000,4.928,226508,8
QuickSort,sorted,10000,0.818,235508,8
QuickSort,duplicates,10000,0.181,58911,2
QuickSort,random,100000,13.968,3010270,11
QuickSort,sorted,100000,8.837,2942235,11
QuickSort,duplicates,100000,2.226,520344,2
QuickSort,random,1000000,165.363,36783806,13
QuickSort,sorted,1000000,105.072,38176318,13
QuickSort,duplicates,1000000,23.412,5500468,2
QuickSelect,random,1000,0.018,5203,13
QuickSelect,sorted,1000,0.007,3434,8
QuickSelect,duplicates,1000,0.011,2848,3
QuickSelect,random,10000,0.174,67975,19
QuickSelect,sorted,10000,0.071,48328,21
QuickSelect,duplicates,10000,0.100,31012,3
QuickSelect,random,100000,1.310,387339,19
QuickSelect,sorted,100000,0.749,481682,22
QuickSelect,duplicates,100000,1.404,398951,5
QuickSelect,random,1000000,15.064,4239073,26
QuickSelect,sorted,1000000,11.430,5442774,24
QuickSelect,duplicates,1000000,14.365,3402465,4
